housing_type,size_sqm,rooms,floor,furnished,roommate_friendly,pets_allowed,elevator,senior_friendly,students_only,balcony_terrace,parking,dishwasher,washing_machine,charging_station,dryer,energy_mark,area,availability_in,days_on_website,months_on_website,monthly_rent_log,monthly_aconto_log,deposit_log,prepaid_rent_log,total_monthly_rent_log
Lejlighed,265.0,7,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,C,København Ø,<1 month,11.0,<1 month,10.221977646629885,0.0,11.320565693461432,11.320565693461432,10.221977646629885
Lejlighed,79.0,3,0,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,A20,Vallensbæk Strand,<1 month,11.0,<1 month,9.350189267092581,6.90875477931522,10.448743588106625,9.350189267092581,9.433563920090563
Lejlighed,94.0,3,2,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Nej,Ja,Ja,Nej,Ja,A10,København SV,1-3 months,11.0,<1 month,9.739555860853764,7.037027614686276,10.838128877622877,9.739555860853764,9.804385191492917
Værelse,12.0,1,1,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Nej,Ja,E,Skodsborg,<1 month,11.0,<1 month,8.922791623969637,0.0,8.922791623969637,8.922791623969637,8.922791623969637
Værelse,18.0,1,4,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,C,København K,<1 month,11.0,<1 month,8.612685172875459,0.0,8.612685172875459,0.0,8.612685172875459
Lejlighed,86.0,3,3,Ja,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,B,Frederiksberg,1-3 months,11.0,<1 month,9.784197131344804,5.5254529391317835,10.882771862738064,9.784197131344804,9.798182590890704
Lejlighed,135.0,4,3,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,C,Taastrup,<1 month,11.0,<1 month,9.38437770918244,0.0,10.482933978579906,10.482933978579906,9.38437770918244
Lejlighed,160.0,7,2,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ikke angivet,Ja,D,Valby,<1 month,11.0,<1 month,10.12667110305036,7.824445930877619,11.225256725762893,0.0,10.221977646629885
Værelse,30.0,1,2,Ja,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,C,Hellerup,<1 month,11.0,<1 month,8.77971129020447,7.170888478512505,9.472781556562168,9.472781556562168,8.962007209588313
Lejlighed,105.0,3,1,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja,Ja,C,Kongens Lyngby,<1 month,11.0,<1 month,9.898525260706313,7.2305631534092925,10.997104049659168,9.898525260706313,9.965569934832672
