monthly_rent,monthly_aconto,housing_type,size_sqm,rooms,floor,furnished,roommate_friendly,pets_allowed,elevator,senior_friendly,students_only,balcony_terrace,parking,dishwasher,washing_machine,charging_station,dryer,deposit,prepaid_rent,energy_mark,area,availability_in,days_on_website,total_monthly_rent,months_on_website
10800.0,800.0,Lejlighed,61.0,2,0,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,32400.0,10800.0,A20,Ballerup,1-3 months,12.0,11600.0,<1 month
15500.0,1037.0,Lejlighed,101.0,3,0,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Nej,Ja,Ja,Nej,Ja,46500.0,15500.0,A10,København SV,3+ months,12.0,16537.0,<1 month
6550.0,461.0,Lejlighed,41.0,1,0,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,19650.0,6550.0,A15,Valby,1-3 months,12.0,7011.0,<1 month
7534.0,500.0,Lejlighed,32.0,1,0,Nej,Nej,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,22602.0,7534.0,none,København NV,<1 month,12.0,8034.0,<1 month
11000.0,500.0,Lejlighed,47.0,2,0,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,33000.0,11000.0,C,Kongens Lyngby,<1 month,12.0,11500.0,<1 month
8000.0,500.0,Værelse,60.0,1,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,8000.0,0.0,none,Nordhavn,1-3 months,12.0,8500.0,<1 month
8000.0,0.0,Værelse,21.0,1,0,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ikke angivet,Ja,Ikke angivet,Ikke angivet,16000.0,0.0,A15,Kastrup,<1 month,12.0,8000.0,<1 month
11900.0,600.0,Lejlighed,52.0,2,4,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ikke angivet,Ja,Ikke angivet,15000.0,23800.0,C,Frederiksberg,1-3 months,12.0,12500.0,<1 month
7500.0,350.0,Lejlighed,31.0,1,2,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,22500.0,7500.0,A15,København N,3+ months,12.0,7850.0,<1 month
7500.0,415.0,Lejlighed,31.0,1,2,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,22500.0,7500.0,A15,København N,<1 month,12.0,7915.0,<1 month
10300.0,1000.0,Lejlighed,75.0,2,0,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,30900.0,10300.0,A20,Ballerup,1-3 months,12.0,11300.0,<1 month
13975.0,700.0,Lejlighed,79.0,3,3,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Ja,41925.0,13975.0,A10,København S,1-3 months,12.0,14675.0,<1 month
15000.0,1000.0,Lejlighed,86.0,3,3,Ja,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,45000.0,15000.0,C,København Ø,<1 month,12.0,16000.0,<1 month
11225.0,776.0,Lejlighed,69.0,2,6,Nej,Ja,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ja,Ikke angivet,Ja,33675.0,11225.0,A15,København S,1-3 months,12.0,12001.0,<1 month
9400.0,1000.0,Lejlighed,57.0,2,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,28200.0,9400.0,C,Søborg,<1 month,12.0,10400.0,<1 month
10400.0,800.0,Lejlighed,55.0,2,7,Nej,Nej,Ja,Ja,Nej,Nej,Nej,Nej,Ja,Nej,Nej,Ja,31200.0,10400.0,none,Herlev,1-3 months,12.0,11200.0,<1 month
14200.0,1000.0,Lejlighed,79.0,3,0,Nej,Ja,Ja,Ja,Nej,Nej,Nej,Nej,Ja,Ja,Nej,Ja,42600.0,14200.0,none,København NV,<1 month,12.0,15200.0,<1 month
20000.0,1400.0,Lejlighed,105.0,4,2,Ja,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ja,40000.0,0.0,none,København K,1-3 months,12.0,21400.0,<1 month
